codigo_sidra,grupo,peso_mensal_pct,variacao_julho_pct,impacto_julho_pp,periodo,fonte
7170,Alimentação e bebidas,21.6675,-0.67,-0.14,2026-07,"IBGE, SIDRA, tabela 7060"
7445,Habitação,15.3642,0.99,0.15,2026-07,"IBGE, SIDRA, tabela 7060"
7486,Artigos de residência,3.4504,0.07,0.00,2026-07,"IBGE, SIDRA, tabela 7060"
7558,Vestuário,4.6289,-0.66,-0.03,2026-07,"IBGE, SIDRA, tabela 7060"
7625,Transportes,20.2729,0.05,0.01,2026-07,"IBGE, SIDRA, tabela 7060"
7660,Saúde e cuidados pessoais,13.7181,0.40,0.06,2026-07,"IBGE, SIDRA, tabela 7060"
7712,Despesas pessoais,10.2281,0.22,0.02,2026-07,"IBGE, SIDRA, tabela 7060"
7766,Educação,6.1673,-0.03,0.00,2026-07,"IBGE, SIDRA, tabela 7060"
7786,Comunicação,4.5026,0.04,0.00,2026-07,"IBGE, SIDRA, tabela 7060"
